Name,Postcode,Phone number,Website,Email,Found on page
Park View Care Home,L8 3SR,1512945679,https://www.kingsleyhealthcare.co.uk,procurement@kingsleyhealthcare.co.uk,https://www.kingsleyhealthcare.co.uk/contact-us
Ivy Lodge Retirement Home,YO32 3YP,1904760629,https://www.ivylodgeretirementhome.co.uk,charles@ivylodge.co.uk,https://www.ivylodgeretirementhome.co.uk
Calvert Trust Kielder,NE48 1BS,1434250232,https://www.calvert-trust.org.uk/kielder,,
Wykewood,BD12 8AA,1274046900,https://www.exemplarhc.com,referrals@exemplarhc.com,https://www.exemplarhc.com
Thornlea Rest Home,FY4 2QP,1253345574,https://www.thornleacarehome.co.uk,,
Blythson Limited - 5 Ashley Avenue,CT19 4PX,1303252787,https://www.proactivedevelopment.co.uk,,
Blythson Limited - 3 Ashley Avenue,CT19 4PX,1303252787,https://www.proactivedevelopment.co.uk,,
Pinhay House Residential Care Home,DT7 3RQ,1297445626,https://www.pinhayhouse.co.uk,,
Beachcomber Care Home,SR7 7AA,1915819451,https://www.beachcombercarehome.co.uk,admin@beachcombercarehome.co.uk,https://www.beachcombercarehome.co.uk
Avery Park Care Home,NN16 9JB,1536851745,https://www.averyhealthcare.co.uk/care-homes/northamptonshire/avery-park-kettering/,,
Barons Lodge Sutton,SM2 5DW,2086421884,https://baronslodge.co.uk,baronsadmin@gmail.com,https://baronslodge.co.uk
Holbeach and East Elloe Hospital Trust,PE12 8AQ,1406422283,https://www.holbeach-hospital.org.uk,info@holbeach-hospital.org.uk,https://www.holbeach-hospital.org.uk/contact
Parkdale Care Home,WV3 9PG,1902710581,https://www.abbeyfield.com,fundraising@abbeyfield.com,https://www.abbeyfield.com
The Lodge Care Home,NE34 0JR,1914557012,https://www.martoncarehomes.co.uk,,
St Judes Nursing Home,SM2 5DU,2086431335,https://www.stjudesnursinghome.co.uk,enquiries@stjudesnursinghome.co.uk,https://www.stjudesnursinghome.co.uk
Ebury Court Residential Home Limited,RM7 0LX,1708728734,https://www.eburycourt.co.uk,info@eburycourt.co.uk,https://www.eburycourt.co.uk
Charlotte Straker House,NE45 5HB,1434633999,https://www.charlottestraker.org.uk,office@charlottestraker.org.uk,https://www.charlottestraker.org.uk
Charnwood Park Residential Home,LE9 8FU,1455844770,https://www.charnwoodpark.co.uk,deborah@charnwoodpark.co.uk,https://www.charnwoodpark.co.uk
Newland Hurst,WR9 7JH,1905773156,https://www.newlandhurst.co.uk,,
West View,PL20 7DU,1822840674,https://www.westviewcarehome.co.uk,diane@westviewcarehome.co.uk,https://www.westviewcarehome.co.uk/contact
Shenehom Housing Association,SW13 0BN,2088762199,https://www.shenehom.org.uk,office@shenehomhousing.org.uk,https://www.shenehom.org.uk
Heathermount Residential Home,CH60 4RH,1513421102,https://www.allandalecaregroup.com/information/,enquiries@allandalecaregroup.com,https://www.allandalecaregroup.com
The Croft,CH61 6XG,1513427004,https://www.allandalecaregroup.com,enquiries@allandalecaregroup.com,https://www.allandalecaregroup.com
East Court,BA5 1AR,1749673122,https://www.orchardvaletrust.org.uk,info@orchardvaletrust.org.uk,https://www.orchardvaletrust.org.uk
Northcroft,BS27 3BD,1934744734,https://www.orchardvaletrust.org.uk,info@orchardvaletrust.org.uk,https://www.orchardvaletrust.org.uk
Ferndale,BA4 5PS,1749345885,https://www.orchardvaletrust.org.uk,info@orchardvaletrust.org.uk,https://www.orchardvaletrust.org.uk
St Chads House,BA3 2JE,1761413173,https://www.orchardvaletrust.org.uk,info@orchardvaletrust.org.uk,https://www.orchardvaletrust.org.uk
Stretton Nursing Home,HR4 7RR,1432761066,https://www.strettonnursinghome.co.uk,info@strettonnursinghome.co.uk,https://www.strettonnursinghome.co.uk
Flowers Manor,SN15 3DQ,1275472069,https://www.elmfieldcare.co.uk,email@email.com,https://www.elmfieldcare.co.uk
Chestnut Manor Care Home,E11 2PR,2038716070,https://www.westgatehealthcare.co.uk/care-home/chestnut-manor-care-home/,info@westgatehc.co.uk,https://www.westgatehealthcare.co.uk
Park Lane Care Home,EX32 9AL,1271373600,https://www.parklanenh.co.uk,,
Rowallan House,RM6 4XX,2085974175,https://www.rowallanhouse.com,,
Northern Counties Eventide Home Limited,PR8 2LE,1704568019,https://www.eventidehome.co.uk,,
Cranmer Scheme,LS17 5PX,1132371052,https://www.ljwb.co.uk,hello@ljwb.co.uk,https://www.ljwb.co.uk
Leeds Jewish Welfare Board - 248 Lidgett Lane,LS17 6QH,1132681542,https://www.ljwb.co.uk,hello@ljwb.co.uk,https://www.ljwb.co.uk
Bishops Way,HD9 4BW,3333603941,https://www.hennessypartnership.co.uk,info@hennessypartnership.co.uk,https://www.hennessypartnership.co.uk
Morton Grange,DE55 6HD,1246866888,https://www.mortongrange.co.uk,,
Salford House,WR11 8UX,1789772461,https://www.salfordhouse.co.uk,Salfordhouse@gmail.com,https://www.salfordhouse.co.uk
Malvern View,B61 0HX,1214537727,https://www.malverngroup.co.uk,,
Hallaton Manor Limited,LE16 8TZ,1858555271,https://www.hallatonmanor.com,info@hallatonmanor.com,https://www.hallatonmanor.com/contact
Leabrook House Nursing Home,DY4 0DY,1215565685,https://www.leabrookhousenursinghome.co.uk,,
Holly House Residential Home,NN7 3AT,1604859188,https://www.hollyhouseresidential.com,info@hollyhouseresidential.com,https://www.hollyhouseresidential.com
Seaton Hall Residential Home,TS25 1AS,1429260095,https://www.seatonhallrh.co.uk,seatonhall@yahoo.co.uk,https://www.seatonhallrh.co.uk
Aaron Court,LE5 1SJ,1162415552,https://www.abbeyhealthcare.org.uk,info@abbeyhealthcare.org.uk,https://www.abbeyhealthcare.org.uk
Albion House,SE13 6BT,2083183366,https://www.prioryadultcare.co.uk,communications@priorygroup.com,https://www.prioryadultcare.co.uk
Lyndale,HR1 2TQ,1432378118,https://www.malverngroup.co.uk/facilities/lyndale,,
Fairleigh House,M16 8EX,1612264550,https://www.citycarepartnership.co.uk,enquiries@citycarepartnership.co.uk,https://www.citycarepartnership.co.uk
Ash Lea House,DE55 7DT,1773521763,https://www.salutemcareandeducation.co.uk,enquiries@salutemsharedservices.co.uk,https://www.salutemcareandeducation.co.uk
Florfield Home,E8 1DW,2085331022,https://www.salutemcareandeducation.co.uk,enquiries@salutemsharedservices.co.uk,https://www.salutemcareandeducation.co.uk
Fairkytes,RM11 1XS,1708442796,https://www.salutemcareandeducation.co.uk,enquiries@salutemsharedservices.co.uk,https://www.salutemcareandeducation.co.uk
Rivington View Nursing Home,BL6 7AW,1204694325,https://www.rivingtonview.com,,
Doveridge Care Home,EX24 6PS,1297552196,https://www.doveleighcare.co.uk,,
Dove Court Care Home,EX12 2JD,129722451,https://www.doveleighcare.co.uk,,
Kingly House,LE10 1AD,1455613823,https://www.activecaregroup.co.uk,%20referrals@activecaregroup.co.uk,https://www.activecaregroup.co.uk/contact
WYCHDENE CARE HOME,CT10 3AF,1843865282,https://www.wychdene.co.uk,,
Liberty House Care Homes Limited,B23 7PH,1213270671,https://www.libertyhousecares.co.uk,info@libertyhousecares.co.uk,https://www.libertyhousecares.co.uk
Thorndene,CT15 7HZ,1303892244,https://www.thorndene.com,info@thorndene.com,https://www.thorndene.com
Elmleigh Homes Limited,NG17 8ED,1623753837,https://www.elmleighhomes.co.uk,,
Albert House Nursing Home,BS23 1ES,1934622869,https://www.yeomancare.co.uk,,
Arthur Court,CT20 2SL,1303258777,https://www.aclcarehomes.co.uk,,
Camelot Lodge,CT20 2SL,1303251215,https://www.aclcarehomes.co.uk,,
Carlisle Dementia Centre - Parkfield,CA1 2QS,1228818933,https://www.hometrustcare.co.uk,cdcparkfield@hometrustcare.co.uk,https://www.hometrustcare.co.uk
The Manor House Nursing Home,ST18 9AT,1785250600,https://www.manorhousestafford.co.uk,,
Hythe View,CT21 5ET,1303265441,https://www.hythecare.com,admin@betsyclarahouse.com,https://www.hythecare.com
Balgowan Nursing Home,CT21 4BX,1303266782,https://www.hythecare.com,admin@betsyclarahouse.com,https://www.hythecare.com
Walton House Nursing Home,PR5 4PD,1772628514,https://www.waltoncare.co.uk,grovemanager@waltoncare.co.uk,https://www.waltoncare.co.uk/contact
Grosvenor House Care Home,HG1 2HA,1423523447,https://www.hc-one.co.uk,,
The Lakes,LA16 7JD,1229465189,https://www.lakescarehome.com,info@lakescarehome.com,https://www.lakescarehome.com
Parkside,RM2 5EH,1708743110,https://www.parksidehome.co.uk,,
Prospect House Residential Home,DN14 8DF,1405704259,https://www.prospecthouse.me.uk,,
Amelia House,WF6 2EH,1924227516,https://www.bondcare.co.uk/care-homes/amelia-house-young-adults-residential-service/,admin@bondcare.co.uk,https://www.bondcare.co.uk
Brookfield,WF10 4BJ,1977559229,https://www.bondcare.co.uk/care-homes/brookfield-care-home-in-castleford/,admin@bondcare.co.uk,https://www.bondcare.co.uk
Newbrook,WF10 4BZ,1977559233,https://www.bondcare.co.uk/care-homes/newbrook-care-home-in-castleford/,admin@bondcare.co.uk,https://www.bondcare.co.uk
Pendennis Residential Care Home,TQ4 5AW,1803551351,https://www.pendenniscarehome.co.uk,kate@pendenniscarehome.co.uk,https://www.pendenniscarehome.co.uk
Ostley House,LA13 9JY,1229823566,https://www.barrowblindsociety.org.uk,,
Ashwood House Limited (Ilford),IG1 3BA,2089248388,https://www.ashwoodhouse.org,micah@micahrich.com,https://www.ashwoodhouse.org
Ashwood House Limited (Leyton),E10 5JP,2085569669,https://www.ashwoodhouse.org,micah@micahrich.com,https://www.ashwoodhouse.org
Solden Hill House,NN11 6UA,2475381504,https://www.soldenhillhouse.co.uk,,
Welford Court,LE2 6EL,1162703482,https://www.welfordcourt.co.uk,conifer_lodge@outlook.com,https://www.welfordcourt.co.uk
The Old Vicarage Residential Care Home,HU16 5TH,1482876633,https://www.theoldvicaragech.co.uk,,
Swan Hill House Residential Home,SY1 1NQ,1743360803,https://www.swanhillhousecarehome.com,,
Penhellis Nursing Home,TR13 8NQ,1326565840,https://www.penhellis.com,,
Innisfree Residential Home,BS23 1DN,1934621611,https://www.innisfreeresidentialhome.com,,
Rutland House Community Trust,LE15 6EH,1572771039,https://www.rutlandhousecommunitytrust.co.uk,info@rhctrust.co.uk,https://www.rutlandhousecommunitytrust.co.uk/contact
Tynwald Residential Home,CT21 5DJ,1303267629,https://www.tynwald.org.uk,,
Ivy Mead,S71 5RG,1226288277,https://www.ivycarehomes.com,info@ivycarehomes.com,https://www.ivycarehomes.com
Ivy Lodge,S63 0JZ,1709888500,https://www.ivycarehomes.com,info@ivycarehomes.com,https://www.ivycarehomes.com
Averlea Residential Home,PL26 7BP,172666892,https://www.averlea.co.uk,AverleaCare@aol.com,https://www.averlea.co.uk/contact
The Willows Nursing and Residential Home,LE16 9BX,1858463177,https://www.willowsnursinghome.co.uk,admin@willowsnursinghome.co.uk,https://www.willowsnursinghome.co.uk
Moor Court,HR1 3HW,1568797461,https://www.potens-uk.com,info@potens-uk.com,https://www.potens-uk.com
Eastbank,HR1 2SY,1432266177,https://www.eastbankhealthcare.co.uk,info@eastbankhereford.co.uk,https://www.eastbankhealthcare.co.uk
Carleton Court Care Home,WF8 3NQ,1977702635,https://www.carletoncourt.co.uk,info@ndiscovered.com,https://www.carletoncourt.co.uk
Scalford Court Care Home,LE14 4UB,1664444696,https://www.scalfordcourt.co.uk,homemanager@scalfordcourt.co.uk,https://www.scalfordcourt.co.uk
Butterfly Lodge,PL5 2EW,1752360000,https://www.camelotcare.co.uk,avalon@camelotcare.co.uk,https://www.camelotcare.co.uk
Clevedon Court Nursing Home,BS21 7HN,1275872694,https://www.curaa.co.uk,ashview@curaa.co.uk,https://www.curaa.co.uk
Alder Grange,ST11 9HL,1782393581,https://www.aldergrange.co.uk,,
Spencer Grove Care Home,DE56 1JR,1773599349,https://www.milfordcare.co.uk,info@milfordcare.co.uk,https://www.milfordcare.co.uk
The Emmie Dixon Home,CW1 4AX,1270581314,https://www.emmiedixonhome.co.uk,,
Wilson Lodge,B13 8AJ,1214491841,https://www.wilsonlodge.org,admin@wilsonlodge.org,https://www.wilsonlodge.org
Keer Sands Residential Home,LA5 9JA,1524732060,https://www.keersands.com,,
Heron House Residential Home,TA1 5HA,1823334238,https://www.abbeyfieldtaunton.co.uk,,
Middleton Hall Retirement Village,DL2 1HA,1325332207,https://www.middletonhallretirementvillage.co.uk,flowandflourishheals@gmail.com,https://www.middletonhallretirementvillage.co.uk
Beechcroft,CH43 6UW,1516526715,https://www.wecaregroup.co.uk/our-homes/beechcroft/,,
Moor Park House Limited,PR1 1LD,1772886785,https://www.moorparkcare.co.uk,admin@moorparkcare.co.uk,https://www.moorparkcare.co.uk
Jasmine House,L9 9DJ,1515250876,https://www.jadhealthcare.com,,
The Lodge Residential Home,LE7 9PH,,https://www.thelodgethurnby.co.uk,manager@thelodgethurnby.co.uk,https://www.thelodgethurnby.co.uk
Queen Alexandra College,B17 9TG,1214285025,https://www.qac.ac.uk,info@qac.ac.uk,https://www.qac.ac.uk
Mayfield Court,L14 2EP,1512839090,https://www.mayfieldcourt.org,victoria.jones@mayfieldcourt.org,https://www.mayfieldcourt.org
Polventon Residential Care Home,TR12 6NS,1326280734,https://www.polventon.co.uk,enquiries@polventon.co.uk,https://www.polventon.co.uk
Shortwood House,NG15 7HA,1159520950,https://www.shortwoodhouse.co.uk,,
Jubilee House Therapy Centre,CA10 2BN,1768890009,https://www.firefighterscharity.org.uk,,
Holme Manor Care Home,BB4 6JB,1706218953,https://www.holmemanor.co.uk,suzanne@holmemanor.co.uk,https://www.holmemanor.co.uk
Pinehurst Care Home,EX34 9QN,1271862839,https://www.pinehurstcarehome.co.uk,,
Eldra Court,TQ14 9JT,1626774834,https://www.phoenixlearningcare.co.uk,adultreferrals@plcl.org.uk,https://www.phoenixlearningcare.co.uk
Currergate Nursing Home,BD20 6PE,1535653204,https://www.czajka.co.uk/currergate.html,info@czajka.co.uk,https://www.czajka.co.uk
Highgrove Care Home,BH21 7NF,1202875614,https://www.samilycare.co.uk,samilycare-kelly@hotmail.com,https://www.samilycare.co.uk
Castle Road,TQ1 3BB,1803294378,https://www.parkwiewsociety.org.uk,,
Lister Avenue,S12 3FH,1142900250,https://www.syha.co.uk,enquiries@syha.co.uk,https://www.syha.co.uk
Eastcote Park Care Home,B92 0JA,1212691236,https://www.cinnamoncc.com,,
Dove House,L9 8AT,,https://www.futureaspirationscg.co.uk/,,
Cliff Lodge,FY2 9JT,1253522841,https://www.oaktreesupport.co.uk,info@oaktreesupport.co.uk,https://www.oaktreesupport.co.uk
Plymouth Lodge,FY3 7JS,1253302737,https://www.oaktreesupport.co.uk,info@oaktreesupport.co.uk,https://www.oaktreesupport.co.uk
The Loont,CW7 1EX,7813637418,https://www.archangelcare.co.uk,,
Hoylake Cottage,CH47 5AQ,1516323381,https://www.hoylakecottage.co.uk,,
Caritate Nursing Home,PL30 5JU,120875628,https://www.laninvalhouse.com,,
Peregrine House,YO21 3HZ,1947603886,https://www.peregrinehouse.co.uk,peregrinehouse@yahoo.co.uk,https://www.peregrinehouse.co.uk
Job's Close Residential Home for the Elderly Limited,B93 0HF,1564773499,https://www.jobsclose.org.uk,enquiries@jobsclose.org.uk,https://www.jobsclose.org.uk
The Old Hall,NG34 0QA,1529240335,https://www.the.oldhall.co.uk,,
Gate Lodge,CR8 3HE,2086687286,https://www.gatelodgecarehome.co.uk,info@gatelodgecarehome.co.uk,https://www.gatelodgecarehome.co.uk
Colin Care Home,SE23 2RU,2086995151,https://www.colincarehome.co.uk,,
Wolfeton Manor,DT2 9QL,1305262340,https://www.wolfetonmanor.co.uk,,
Delrose House,IG1 3EZ,2085180926,https://www.delrosehouse.co.uk,,
Sesame,TQ1 3HA,1803329082,https://www.lifeworks-uk.org,enquiries@lifeworks-uk.org,https://www.lifeworks-uk.org
Lotus Lodge,E11 2QW,3303203321,https://www.venushealthcare.co.uk,info@venushealthcare.co.uk,https://www.venushealthcare.co.uk
Meadowyrthe,B79 8PD,182766606,https://www.nexxuscare.co.uk,info@nexxuscare.co.uk,https://www.nexxuscare.co.uk
Bracken House,WS7 9BD,1543686850,https://www.nexxuscare.co.uk,info@nexxuscare.co.uk,https://www.nexxuscare.co.uk
Canonbury Residential Home,GL13 9BE,1453511991,https://www.excellence-in-care.co.uk,,
Fairfield Country Rest Home,EX23 9NH,1288381241,https://www.fairfieldcountryresthome.com,,
Faricare Ltd,IG3 9RN,7931315572,https://www.faricare.com,,
Tree Tops,DE15 0LB,1283530416,https://www.cjbcare.co.uk,info@cjbcare.co.uk,https://www.cjbcare.co.uk
The Hamptons,GL53 0BN,1242520527,https://www.hamptonhousecare.co.uk,homemanager@thehamptons-Cheltenham.co.uk,https://www.hamptonhousecare.co.uk
St Peters Row Delarue Close,TN11 9NN,1732771593,https://www.scottsprojecttrust.org.uk,,
Silloth Nursing and Residential Care Home,CA7 4JH,1697331493,https://www.sillothnursinghome.org.uk,,
Bentley Court Care Home,WV11 1PX,1902722100,https://www.bondcare.co.uk/care-homes/bentley-court-care-home,admin@bondcare.co.uk,https://www.bondcare.co.uk
Cleveland House,CT10 1QB,1843866509,https://www.nationalcaregroup.com,info@nationalcaregroup.com,https://www.nationalcaregroup.com
Studley Rose Care Home,B80 7QU,7483046156,https://www.macccare.com,%20info@macccare.com,https://www.macccare.com
The Rylands Nursing and Residential Home,TF10 8BT,1952814871,https://www.rylandscare.co.uk,admin@therylands.co.uk,https://www.rylandscare.co.uk
Chirnside House,LA1 4NL,1524541720,https://www.abbeyfieldlancaster.co.uk,,
The Croft Residential Care Home,SR4 8QE,1915284668,https://www.croftcarehome.co.uk,kathryn@croftcarehome.co.uk,https://www.croftcarehome.co.uk
Stallcombe House,EX5 1EX,1395232373,https://www.stallcombehouse.co.uk,,
Windmill House,BS32 4PH,1454413818,https://www.windmillcare.com,enquiries@windmillcare.com,https://www.windmillcare.com
Osbourne Court,BS34 8PE,1179448700,https://www.windmillcare.com,enquiries@windmillcare.com,https://www.windmillcare.com
Durham House Residential Care Home,DH3 3PU,1913871265,https://www.premiercarehomes.co.uk,info@picktreecourtcarehome.co.uk,https://www.premiercarehomes.co.uk
Chesfield House,HR6 8JF,1568615877,https://www.inspirationcare.co.uk,,
Buckfield House,HR6 8QX,1568613119,https://www.inspirationcare.co.uk,,
The Eadmund,CR5 2BB,2086452680,https://www.nellbenltd.com,ben.c@nellbenltd.com,https://www.nellbenltd.com/contact
Susan Day Residential Home,EX34 8AQ,1271862528,https://www.susanday.org,,
Alison House,GL2 8DX,1452790612,https://www.genesiscte.co.uk,example@mysite.com,https://www.genesiscte.co.uk/contact-us
Hollybank Residential Home,CR8 5JB,2086604213,https://www.hollybankhome.co.uk,,
Mallands Residential Care Home,TQ12 5NL,1626366244,https://www.mallands.co.uk,enquiries@mallands.co.uk,https://www.mallands.co.uk
The Old Hall Residential Care Home,PE23 5NZ,1790753503,https://www.theoldhallspilsby.co.uk,Theoldhall@keshcare.co.uk,https://www.theoldhallspilsby.co.uk
Waterfield Supported Homes Limited - 10 Dowanhill Road,SE6 1HJ,2086976969,https://www.waterfieldsh.co.uk,admin@waterfieldsh.co.uk,https://www.waterfieldsh.co.uk
Waterfield Supported Homes Limited - 23 Broadfield Road,SE6 1ND,2083338234,https://www.waterfieldsh.co.uk,admin@waterfieldsh.co.uk,https://www.waterfieldsh.co.uk
Chestnut Grove Rest Home,PR5 5XE,1772337061,https://www.chestnutgroveresthome.co.uk,,
Moorlands Residential Care Home,DL3 7AP,1325353592,https://www.moorlandscare.co.uk,,
Park View,CH43 8SF,1518321562,https://www.fairparkcare.com,Enquiries@fairparkcare.com,https://www.fairparkcare.com
Taptonholme,S10 5BP,1142663440,https://www.taptonholme.co.uk,,
Bethany Lodge,TN29 0PG,1303872289,https://www.activecaregroup.co.uk,%20referrals@activecaregroup.co.uk,https://www.activecaregroup.co.uk/contact
Rayner House,B91 2PP,1217059293,https://www.raynerhouseandyewtrees.co.uk,,
Kilmar House,PL14 3JU,1579343066,https://kilmarhouse.co.uk,,
Craigielea Nursing Home,NE9 6AT,1914874121,https://www.craigieleacare.co.uk,,
Coalway Lane,NE16 3EY,1914886877,https://www.mentalhealthconcern.org,,
Endeavour Residential Home,EX2 8TS,1392250148,https://www.endeavourcarehome.co.uk,,
ParkHouse Grange,LE9 7EP,1455851222,https://www.ala-care.co.uk,,
Maple House,LE6 0JH,1162386302,https://www.kingsresidentialcarehomes.co.uk,maplehouse@krch.co.uk,https://www.kingsresidentialcarehomes.co.uk
Broomgrove Trust Nursing Home,S10 2LR,1142661311,https://www.broomgrove-trust.co.uk,,
Priority Care Home,BD8 7BA,1274484040,https://www.prioritycarehome.co.uk,manager@prioritycarehome.co.uk,https://www.prioritycarehome.co.uk
Spetisbury Manor,DT11 9EB,1258857378,https://www.spetisburymanor.co.uk,info@spetisburymanor.co.uk,https://www.spetisburymanor.co.uk
Visions ( Bristol ) Limited,BS5 8LW,1179608511,https://www.visionsbristol.co.uk,,
George Edward Smart Homes,YO12 5DJ,1723375709,https://www.combe-hay.co.uk,,
Burrell Mead,BR4 0QS,2087760455,https://www.burrellmead.co.uk,,
Sherrington House Nursing Home,BD8 8RA,1274494911,https://www.lhnh.co.uk,enquiries@lhnh.co.uk,https://www.lhnh.co.uk
Hill House Care Home,CR8 5AR,2086609336,https://www.hillhousecare.co.uk,,
Westside Care Home,CR8 3NB,2086606453,https://www.hillhousecare.co.uk,,
Well Springs Nursing Home,BD9 5QU,1274488855,https://www.wellspringsnursinghome.co.uk,office@wellspringsnursinghome.co.uk,https://www.wellspringsnursinghome.co.uk
Ashleigh Residential Home Limited,S40 4TE,1246235162,https://www.ashleighresidentialhome.co.uk,ashleighres@gmail.com,https://www.ashleighresidentialhome.co.uk
Cullum Welch Court Care Home,SE3 0PW,2084638301,https://www.mordencollege.org.uk/care-home,information@mordencollege.org.uk,https://www.mordencollege.org.uk
The Broad Group - 85 Bath Road,WR5 3AE,1905360439,https://www.thebroadgroup.co.uk,info@thebroadgroup.co.uk,https://www.thebroadgroup.co.uk
Thistle Hill Hall,NG19 7EZ,1623655100,https://www.thistlehillhall.co.uk,enquiries@debdalecare.co.uk,https://www.thistlehillhall.co.uk
Bryony Park Nursing Home,SR5 2SH,1915497272,https://www.memorylanecarehomes.co.uk/care-homes/bryony-park-nursing-home/,admin@bryonylodgenursing.co.uk,https://www.memorylanecarehomes.co.uk
Goldcrest House,DN14 6AJ,1405763607,https://www.genhawk.org.uk,info@genhawk.org.uk,https://www.genhawk.org.uk
Upton Cottage,BS21 7BT,1275878601,https://www.uptoncottage.co.uk,info@uptoncottage.co.uk,https://www.uptoncottage.co.uk/contact-us
House Martins Care Limited Number Two,M6 8GQ,1617368057,https://www.housemartinscare.co.uk,kerry.godwin@nhs.net,https://www.housemartinscare.co.uk
House Martins Care Limited Number One,M6 7QH,1617364721,https://www.housemartinscare.co.uk,kerry.godwin@nhs.net,https://www.housemartinscare.co.uk
Primrose Lodge Weymouth,DT4 7LG,1305786568,https://www.primroselodge-weymouth.co.uk,lisa@primroselodge-weymouth.co.uk,https://www.primroselodge-weymouth.co.uk
Elizabeth House,B90 3BX,1217442753,https://www.elizabethhouseshirley.co.uk,elizabethhouse.77@outlook.com,https://www.elizabethhouseshirley.co.uk
Nicholl Grange,B70 6HW,1215253828,https://www.sandwellmind.org.uk,,
Ventura,BS23 3AX,1934782652,https://www.kismethouse.co.uk,,
Kismet House,BS23 1EE,1934782691,https://www.hotmail.co.uk,,
Northbrook Care Home,IG1 3BP,2089119110,https://www.northbrookhomes.co.uk,,
The Byars Nursing Home,NG14 7EB,1159663981,https://www.byarscarehome.co.uk,,
The Harry Care Home,EX39 1JD,1237871460,https://www.theharrynh.co.uk,,
Sambrook House Residential Home,TF10 8AL,1952550210,https://www.sambrookhouse.co.uk,office@sambrookhouse.co.uk,https://www.sambrookhouse.co.uk
The Old Rectory,EX13 8AR,1297552532,https://www.oldrectorymusbury.co.uk,,
Princess Alexandra Home For The Blind,FY4 1SH,1253403091,https://www.nvision-nw.co.uk,,
Agnes House,LE3 0UX,1162542973,https://www.wyggestonshospital.org.uk,,
Eothen Residential Homes - Gosforth,NE3 4BB,1912130707,https://www.eothenhomes.org.uk,enquiries@eothenhomes.org.uk,https://www.eothenhomes.org.uk
Eothen Residential Homes - Whitley Bay,NE26 2TX,1912970707,https://www.eothenhomes.org.uk,enquiries@eothenhomes.org.uk,https://www.eothenhomes.org.uk
Community Places,S72 0EA,1226755070,https://www.communityplaces.co.uk,,
Fern Croft,GL1 3DS,1452505803,https://www.newbeginningsglos.co.uk,,
Fern Court,GL2 9QB,1452730626,https://www.newbeginningsglos.co.uk,,
Westwood Residential Care Home,PR7 1LF,1257264626,https://www.westcliffehomes.co.uk,enquiries@westcliffehomes.co.uk,https://www.westcliffehomes.co.uk/contact
