Country,Town,Name,Address,Phone,Website
Wales,Neath,Burrows Road Launderette,"47 Burrows Rd, Skewen, West Glamorgan, Neath SA10 6AB, UK",01792 321542,
Wales,Merthyr Tydfil,The fresh press laundrette,"Unit 7, paisley park, Pant Industrial Estate, Dowlais, Merthyr Tydfil CF48 2AX, UK",01685 481463,
Wales,Merthyr Tydfil,Merthyr Dry Cleaners,"15-16 Brecon Rd, Merthyr Tydfil CF47 8NL, UK",01685 383820,
Wales,Merthyr Tydfil,Rhi's Delicates laundry and ironing service,"29 King St, Pant, Merthyr Tydfil CF48 2AF, UK",07350 699271,http://www.rhisdelicates.co.uk/
Wales,Merthyr Tydfil,Kradnie,"22 Gurnos Rd, Merthyr Tydfil CF47 9NN, UK",,
Wales,Merthyr Tydfil,AprilRG Laundry,"46 Broad St, Dowlais, Merthyr Tydfil CF48 3AR, UK",07392 631607,
Wales,Aberdare,Half Soaked Laundry Services,"33 Commercial St, Aberdare CF44 7RW, UK",01685 554321,https://halfsoaked.co.uk/
Wales,Aberdare,The Fresh & Clean Family Laundry Service,"44 Dean St, Aberdare CF44 7BN, UK",,
Wales,Aberdare,Revolution Laundry,"13 Well Pl, Aberdare CF44 0PN, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Aberdare,Timpson,"Aberdare CF44 0AH, UK",01685 872782,https://www.timpson.co.uk/stores/Aberdare-Asda
Wales,Caerphilly,White City Launderette,"Newport Rd, Trethomas, Caerphilly CF83 8BY, UK",029 2088 4260,https://www.facebook.com/whitecitylaundry/
Wales,Caerphilly,Michelle’s Laundry Box Ltd,"55 Mill Rd, Caerphilly CF83 3FD, UK",029 2086 2123,https://www.facebook.com/lboxltd/
Wales,Caerphilly,Revolution Laundry,"Castle Court Shopping Centre, Castle St, Caerphilly CF83 1NU, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Pontypridd,Treforest Launderette,"64 Park St, Treforest, Pontypridd CF37 1SN, UK",01443 401427,
Wales,Pontypridd,Sarah's ironing service & S&F cleaning services,"30 High St, Graig, Pontypridd CF37 1QX, UK",07818 749312,
Wales,Port Talbot,Whirlpool Launderette Ltd,"96 Talbot Rd, Port Talbot SA13 1LB, UK",01639 884889,
Wales,Port Talbot,Revolution Laundry,"Filco Supermarket, 2-16 Commercial Rd, Port Talbot SA13 1LG, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Colwyn Bay,Posh Wash Launderette,"131 Abergele Rd, Colwyn Bay LL29 7SL, UK",07344 332641,https://colwynbay.info/business/posh-wash-launderette/
Wales,Colwyn Bay,Rhos Launderette,"21 Rhos Rd, Rhôs-on-Sea, Rhos on Sea, Colwyn Bay LL28 4RS, UK",07502 068636,https://rhoslaunderette.co.uk/
Wales,Colwyn Bay,The Laundry Basket,"341 Abergele Rd, Old Colwyn, Colwyn Bay LL29 9PG, UK",01492 517884,http://www.colwynlaundrybasket.co.uk/
Wales,Pontypool,The Laundry Hut Ltd,"9 Osborne Rd, Pontypool NP4 6NN, UK",07902 857029,
Wales,Pontypool,Snow White Laundries Ltd,"Clarence Corner, Clarence Rd, Pontypool NP4 8AZ, UK",01495 763425,https://www.snowwhitelaundries.co.uk/
Wales,Pontypool,Revolution Laundry,"Osborne Rd, Pontnewynydd, Pontypool NP4 6NR, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Pontypool,CRISP AND CLEAN ironing service,"46 Brynwern, Pontypool NP4 6HH, UK",01495 750584,
Wales,Penarth,Penarth launderette,"18 Glebe St, Penarth CF64 1ED, UK",07387 852815,
Wales,Rhyl,Bendix Launderette,"137 Wellington Rd, Rhyl LL18 1LE, UK",01745 354236,https://loverhyl.co.uk/business/bendix-launderette/
Wales,Rhyl,Revolution Laundry,"Football Club, Belle Vue, Grange Rd., Rhyl LL18 4BY, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Rhyl,WashMe,"Belle Vue, Grange Rd., Rhyl LL18 4BY, UK",,
Wales,Ebbw Vale,Crease is the Word Ironing Service,"12 Armoury Terrace, Ebbw Vale NP23 6BD, UK",07385 928012,https://www.facebook.com/profile.php?id=100090578276347
Wales,Ebbw Vale,Revolution Laundry,"Wm Morrison Supermarkets, Beaufort Rd, Ebbw Vale, Tredegar NP23 5WS, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Ebbw Vale,The Ironing Centre,"101 Bailey St, Brynmawr, Ebbw Vale NP23 4DN, UK",07593 191511,
Wales,Maesteg,Nantyffyllon Laundry,"1 Picton St, Nantyffyllon, Maesteg CF34 0EW, UK",01656 733263,
Wales,Tonypandy,The Wash Shop,"65C Brook St, Tonypandy CF40 1RE, UK",01443 439277,http://www.thewashshoptonypandy.co.uk/
Wales,Bangor,Laundry Room,"9-11 Holyhead Rd, Bangor LL57 2EG, UK",07588 035356,https://www.yell.com/biz/the-laundry-room-bangor-901716350/
Wales,Bangor,The Laundry Lounge,"114 High St, Bangor LL57 1NS, UK",07719 826738,https://www.facebook.com/TheLaundryLounge22
Wales,Bangor,Leung P Launderette,"213 Caernarfon Rd, Bangor LL57 4LW, UK",01248 352756,
Wales,Bangor,Laundrette Golchdy,"Bangor LL57 2JT, UK",,
Wales,Bangor,Annie's,"5 Kingsley Ave, Bangor LL57 1TA, UK",07446 459493,
Wales,Bangor,Kingsley Avenue Launderette,"Kingsley Avenue Launderette, Kingsley Ave, Bangor LL57 1TA, UK",,
Wales,Bangor,Holyhead Road Launderette,"Holyhead Road Launderette, Holyhead Rd, Bangor LL57 2EG, UK",,
Wales,Bangor,REVOLUTION Laundry,"Beach Rd, Bangor LL57 1AB, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Bangor,THE LAUNDRY TIME,"Britannia Square, Bangor LL57 2EG, UK",,
Wales,Connah's Quay,Evergreen Dry Cleaners,"86 High St, Connah's Quay, Deeside CH5 4DD, UK",01244 812524,http://www.evergreendrycleaners.co.uk/
Wales,Connah's Quay,Laundry Lounge,"The Gables, 62a Chester Rd W, Shotton, Deeside CH5 1BY, UK",0330 345 3432,http://www.launderettenearme.co.uk/
Wales,Prestatyn,Monarch,"31-33 Meliden Rd, Prestatyn LL19 9SD, UK",01745 854285,http://www.laundryservicesinwales.co.uk/
Wales,Prestatyn,Wash.ME,"Marine Rd, Prestatyn LL19 7HA, UK",,"https://stores.revolution-laundry.com/en-uk/england-gbr/Prestatyn,_Denbighshire,_Wales,_United_Kingdom"
Wales,Carmarthen,Coin Wash Laundrette,"31 Lammas St, Carmarthen SA31 3AL, UK",01267 236521,
Wales,Carmarthen,Coinwash Launderette,"Coinwash Launderette, 31 Lammas St, Carmarthen SA31 3AL, UK",,
Wales,Porthcawl,Soapy's Launderers & Drycleaners,"34 New Rd, Porthcawl CF36 5DN, UK",01656 788319,https://www.soapysporthcawl.co.uk/
Wales,Porthcawl,Laundrette,"Trecco Bay, Porthcawl CF36 5NE, UK",,
Wales,Conwy,Junction Laundry Service,"161 Conway Rd, Conwy, Llandudno Junction LL31 9EG, UK",01492 592555,
Wales,Conwy,Bubbles Launderette,"25 Brookes St, Llandudno LL30 2TT, UK",01492 871742,https://bubbles.wales/
Wales,Conwy,West Shore Launderette,"115 Trinity Ave, Llandudno LL30 2UJ, UK",07710 694193,https://bandbinllandudno.co.uk/business/west-shore-launderette/
Wales,Conwy,Cloud Laundry,"34 Madoc St, Llandudno LL30 2TL, UK",07940 443663,https://www.facebook.com/people/cloud-laundry-ltd/61576740623021/
Wales,Conwy,MINW Laundry House,"150 Conway Rd, Llandudno Junction LL31 9DU, UK",01492 593924,https://www.maidinnorthwales.com/copy-of-home
Wales,Conwy,Cleaner Care Ltd,"Connaught House, Riverside Business Park, Benarth Rd, Conwy LL32 8UB, UK",01492 592639,https://www.cleanercare.co.uk/
Wales,Conwy,"Craig y Don Laundrette, Llandudno","21 Clarence Rd, Llandudno LL30 1TA, UK",07787 180183,https://bandbinllandudno.co.uk/business/craig-y-don-laundrette-llandudno/
Wales,Conwy,Rhos Launderette,"21 Rhos Rd, Rhôs-on-Sea, Rhos on Sea, Colwyn Bay LL28 4RS, UK",07502 068636,https://rhoslaunderette.co.uk/
Wales,Conwy,Western Union,"15 High St, Conwy LL32 8DE, UK",0800 265756,https://www.westernunion.com/
Wales,Conwy,Timpson,"Ffordd 6G Rd, Llandudno, Llandudno Junction LL31 9XY, UK",01492 585452,https://www.timpson.co.uk/stores/Llandudno-Junction-Tesco
Wales,Conwy,Posh Wash Launderette,"131 Abergele Rd, Colwyn Bay LL29 7SL, UK",07344 332641,https://colwynbay.info/business/posh-wash-launderette/
Wales,Risca,Timpson,"Pontymister Industrial Estate, Risca, Newport NP11 6NP, UK",01633 614876,https://www.timpson.co.uk/stores/Risca-Tesco
Wales,Risca,White City Launderette,"Newport Rd, Trethomas, Caerphilly CF83 8BY, UK",029 2088 4260,https://www.facebook.com/whitecitylaundry/
Wales,Risca,Risca Services ( Texaco Service Station),"153 Commercial St, Risca, Newport NP11 6EE, UK",01633 547373,http://www.texaco.co.uk/
Wales,Risca,Quick Fix Laundry,"117 Stow Hill, Newport NP20 4ED, UK",07350 699271,http://www.7daylaundry.com/
Wales,Risca,Pressed & Fresh Ltd.,"Pressed & Fresh Ltd, Newport NP19 4ND, UK",07491 966345,https://www.pressed-and-fresh.co.uk/
Wales,Risca,Clean'd ltd,"Unit 1 block G, penmaen ind est, Pontllanfraith, Blackwood NP12 2DQ, UK",07756 285451,http://www.clean-d.co.uk/
Wales,Risca,Stow Hill Launderette,"117 Stow Hill, Newport NP20 4ED, UK",01633 547120,
Wales,Risca,Riscaflora Florists,"Central Buildings, 33c Tredegar St, Risca, Newport NP11 6BU, UK",01633 614276,https://sites.google.com/view/riscaflora
Wales,Risca,RISCA HAND CAR WASH,"Risca, Newport NP11 6GQ, UK",,
Wales,Risca,Max Spielmann - Photo printing Kiosk,"Commercial St, Risca, Extra NP11 6NP, UK",,https://www.maxphoto.co.uk/in-store-services/instant-photo-prints
Wales,Risca,Michelle’s Laundry Box Ltd,"55 Mill Rd, Caerphilly CF83 3FD, UK",029 2086 2123,https://www.facebook.com/lboxltd/
Wales,Risca,Johnsons The Cleaners,"Unit 4a, Newport NP20 3AE, UK",01633 266430,http://www.johnsoncleaners.com/branch/Newport-Drive-In
Wales,Llandudno,Bubbles Launderette,"25 Brookes St, Llandudno LL30 2TT, UK",01492 871742,https://bubbles.wales/
Wales,Llandudno,Cloud Laundry,"34 Madoc St, Llandudno LL30 2TL, UK",07940 443663,https://www.facebook.com/people/cloud-laundry-ltd/61576740623021/
Wales,Llandudno,West Shore Launderette,"115 Trinity Ave, Llandudno LL30 2UJ, UK",07710 694193,https://bandbinllandudno.co.uk/business/west-shore-launderette/
Wales,Llandudno,"Craig y Don Laundrette, Llandudno","21 Clarence Rd, Llandudno LL30 1TA, UK",07787 180183,https://bandbinllandudno.co.uk/business/craig-y-don-laundrette-llandudno/
Wales,Llandudno,Junction Laundry Service,"161 Conway Rd, Conwy, Llandudno Junction LL31 9EG, UK",01492 592555,
Wales,Aberystwyth,Baywash,"Queen's Rd, Aberystwyth SY23 2HG, UK",01970 634440,https://www.baywash.wales/
Wales,Aberystwyth,Launderette Golchdy,"Aberystwyth SY23 2JN, UK",,
Wales,Aberystwyth,Golchi A Troi A Sychu Wash 'N Spin 'N Dry,"20 Bridge St, Aberystwyth SY23 1PZ, UK",,
Wales,Aberystwyth,Revolution Laundry,"Ffordd Parc y Llyn Wm Morrison Supermarkets, Parcydolau, Llanbadarn Fawr, Aberystwyth SY23 3RD, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Aberystwyth,Fferm Penglais Launderette,"Fferm, Penglais, Aberystwyth SY23 3TE, UK",,https://www.aber.ac.uk/en/accommodation/current-students/living-residences/laundry/#laundry-room-access
Wales,Tredegar,Penny's laundry,"Unit b Shop Row, Tredegar NP22 4LB, UK",07534 247304,
Wales,Tredegar,Poppy's Launderette,"38 Castle St, Tredegar NP22 3DQ, UK",01495 717786,
Wales,Tredegar,Clean Queen Cleaners and Laundry Services,"20 Pochin Cres, Tredegar NP22 4JR, UK",07939 048864,http://www.clean-queen.co.uk/
Wales,Tredegar,Pressed Perfection,"5, Rose Farm Bungalows, Merthyr Rd, Tredegar NP22 3BD, UK",07583 789950,
Wales,Tredegar,Revolution Laundry,"Wm Morrison Supermarkets, Beaufort Rd, Ebbw Vale, Tredegar NP23 5WS, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Hawarden,Laundry Lounge,"The Gables, 62a Chester Rd W, Shotton, Deeside CH5 1BY, UK",0330 345 3432,http://www.launderettenearme.co.uk/
Wales,Hawarden,Evergreen Dry Cleaners,"86 High St, Connah's Quay, Deeside CH5 4DD, UK",01244 812524,http://www.evergreendrycleaners.co.uk/
Wales,Hawarden,Gladstone's Library,"Church Lane, Hawarden, Flintshire CH5 3DF, UK",01244 532350,http://www.gladstoneslibrary.org/
Wales,Hawarden,Fresh Laundry,"10 Charles St, Hoole, Chester CH2 3AZ, UK",07367 280120,http://fresh-laundry.co.uk/
Wales,Hawarden,Posh Wosh,"5, Cambrian Business Park, Queen's Ln, Mold CH7 1NJ, UK",01352 754389,
Wales,Hawarden,The Launderette,"56 Garden Ln, Cheshire, Chester CH1 4EW, UK",01244 380014,http://www.launderettechester.co.uk/
Wales,Milford Haven,Spot-On Dry Cleaners,"Temeraire House, Nelson Quay, Milford Haven SA73 3BN, UK",01646 697283,http://www.spoton.wales/
Wales,Milford Haven,NetLet Laundry,"Unit 3, F Shed, Hakin, Milford Haven SA73 3DJ, UK",01646 699264,http://www.netletlaundry.co.uk/
Wales,Milford Haven,Clean Image,"159 Robert St, Milford Haven SA73 2HS, UK",01646 690139,
Wales,Milford Haven,Quality Cleaning4u,"The Rope Walk, Hakin, Milford Haven SA73 3LW, UK",0844 414 5404,
Wales,Milford Haven,HLS Laundry,"Milford Haven SA73 3BH, UK",01646 698468,
Wales,Church Village,Village Laundrette,"1 St. Illtyds Rd, Church Village, Pontypridd CF38 1DB, UK",01443 205888,
Wales,Gorseinon,Gorseinon launderette,"46 High St, Gorseinon, Swansea SA4 4BT, UK",07883 005484,
Wales,Gorseinon,Ritchies Laundry Services,"Ritchies laundry service, Loughor, Swansea SA4 6PG, UK",01792 897594,
Wales,Gorseinon,Revolution Laundry,"Gorseinon Rd, Gorseinon, Swansea SA4 4DQ, UK",,https://stores.revolution-laundry.com/en-uk/?utm_source=google&utm_medium=directory&utm_campaign=local_visibility&utm_content=google_maps
Wales,Gorseinon,Gowerton Laundry,"3 Gorwydd Rd, Gowerton, Swansea SA4 3AG, UK",01792 875182,
Wales,Gorseinon,Leisure Launderete,"97 Alexandra Rd, Gorseinon, Swansea SA4 4NU, UK",,
Wales,Pyle,The Caring Laundry,"18 Heol Trelales, Trelales, Bridgend CF32 0HW, UK",01656 768222,http://caringlaundry.co.uk/
Wales,Pyle,The Laundry Rooms,"25 Vere St, Barry CF63 2HW, UK",01446 740730,http://www.thelaundry-rooms.co.uk/
Wales,Pyle,Penylan Launderette,"29 Pen-Y-Lan Rd, Cardiff CF24 3PG, UK",029 2049 1912,
Wales,Abergavenny,The Laundry Basket,"Station Enterprises, Station Rd, Abergavenny NP7 5HY, UK",01873 857456,
Wales,Abergavenny,Johnsons The Cleaners,"3A High St, Abergavenny NP7 5RY, UK",01873 851111,http://www.johnsoncleaners.com/branch/Abergavenny
