Town,Query,Name,Address,Phone,Website
Birmingham,A_catering_engineers,Midland Catering Ltd,"Unit 3 Landor St, Birmingham B8 1AG, UK",0121 773 4778,https://midlandcateringltd.co.uk/
Birmingham,A_catering_engineers,Yasmin Ditta Catering,"Unit 9, Premier Trading Estate, Birmingham B7 4AT, UK",07402 247568,https://www.yasmindittacatering.com/
Birmingham,A_catering_engineers,Mukhtar's Food Machinery,"2 Dreamwell State, James Rd, Tyseley, Birmingham B11 2BA, UK",07806 672356,http://mukhtarsfoodmachinery.co.uk/
Birmingham,A_catering_engineers,Nisbets Catering Equipment Birmingham Store,"64 Bristol St, Birmingham B5 7AA, UK",0121 622 1763,https://www.nisbets.co.uk/birminghamstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
Birmingham,A_catering_engineers,Maggie Lo Catering Supplies Ltd,"202-204 Barford St, Birmingham B5 7EP, UK",0121 622 3358,http://www.maggielo.co.uk/
Birmingham,A_catering_engineers,Abraxas Catering Equipment Limited,"Unit 8, Building 329, Rushock Trading Estate, Droitwich WR9 0NR, UK",01562 863222,https://www.abraxascatering.co.uk/
Birmingham,A_catering_engineers,CEE | Catering Equipment Express,"Unit 15, Bilston Industrial Estate, Oxford St, Bilston, Wolverhampton WV14 7EG, UK",01902 495634,https://cateringequipment-uk.co.uk/
Birmingham,A_catering_engineers,Sylhet Cooker Services,"27 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://sylhetcooker.co.uk/
Birmingham,A_catering_engineers,Caterlink UK Ltd,"Northgate Way, Walsall WS9 8SR, UK",01922 453168,http://www.caterlinkuk.co.uk/
Birmingham,A_catering_engineers,Blue Seal,"Unit 67, Gravelly Industrial Park, Birmingham B24 8TQ, UK",0121 327 5575,http://www.blue-seal.co.uk/
Birmingham,A_catering_engineers,CEFS PLASTIC LIMITED,"235-238 Great Lister St, Birmingham B7 4BS, UK",,
Birmingham,A_catering_engineers,Pars Catering Supplies Cash & Carry,"91-93 Charles Henry St, Birmingham B12 0SJ, UK",0121 622 6222,
Birmingham,A_catering_engineers,Aretsi Event Catering Limited,"Unit 7, All Saints Industrial Estate, All Saints' St, Hockley, Birmingham B18 7RJ, UK",07468 489816,http://aretsi.co.uk/
Birmingham,A_catering_engineers,First In Service Ltd,"Unit 2, Windsor Industrial Estate, Rupert St, Nechells, Birmingham B7 4PR, UK",0121 333 3301,http://www.firstinservice.co.uk/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary
Birmingham,A_catering_engineers,Chef4u Personal chef and caterer,"Birmingham Business Centre, Mount St, Nechells, Birmingham B7 5RD, UK",07949 412477,http://www.chef4u.co.uk/
Birmingham,A_catering_engineers,Birmingham Cooker Services,"27 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://birminghamcookerservices.co.uk/
Birmingham,A_catering_engineers,Catering Suppliers,"87 Brookvale Rd, Witton, Birmingham B6 7AR, UK",,
Birmingham,A_catering_engineers,Birmingham Catering and Event Hire,"30 Chester St, Birmingham B6 4BE, UK",0800 910 1317,http://www.birminghamcateringhire.com/
Birmingham,A_catering_engineers,Birmingham Catering Hire,"Deritend, Birmingham B9 4AA, UK",0800 910 1317,http://www.birminghamcateringhire.com/
Birmingham,A_catering_engineers,B7 Catering LTD,"Unit 6, 133-159 Tyburn Rd, Birmingham B24 8NQ, UK",07534 432192,https://b7catering.co.uk/
Birmingham,A_catering_engineers,Ming Catering Equipment,"257 Hospital St, Birmingham B19 2YF, UK",07868 754564,https://mingcatering.co.uk/contact/
Birmingham,A_catering_engineers,Zodiac Stainless Products,"10, Selly Oak Industrial Estate, Elliott Rd, Selly Oak, Birmingham B29 6LR, UK",0121 415 2540,http://www.zodiacspco.co.uk/
Birmingham,A_catering_engineers,Used Hog Roast Machine,"Ethel St, Birmingham B2 4BG, UK",0121 607 8239,http://usedhogroastmachine.com/
Birmingham,A_catering_engineers,Polaris Catering & Refrigeration Service Ltd,"Office 21, Haldon House, Business Centre, 385 Brettell Ln, Brierley Hill DY5 3LQ, UK",01527 585676,https://www.polariscateringservices.com/
Birmingham,A_catering_engineers,Ceramics Catering Equipment,"221 New John St W, Birmingham B19 3UA, UK",,
Birmingham,A_catering_engineers,Cater Refit,"Unit 15 Sandy Ln, Birmingham B6 5TP, UK",0121 326 0419,
Birmingham,A_catering_engineers,A S M C Catering Engineers,"67 Bonner Dr, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B76 1DY, UK",,
Birmingham,B_equipment_repair,Birmingham Catering Equipment Ltd,"139A Middlemore Rd, Birmingham B66 2EA, UK",0121 558 2451,http://www.birminghamcateringequipment.co.uk/
Birmingham,B_equipment_repair,Universal Catering Equipment ltd,"49-51 Stratford Rd, Birmingham B11 1RE, UK",0121 246 3578,http://www.universalcatering.co.uk/
Birmingham,B_equipment_repair,I.Z Global Catering Equipment Ltd,"220 Gooch St, Birmingham B5 7HY, UK",07462 555600,http://www.globalcateringequipment.co.uk/
Birmingham,B_equipment_repair,New Catering Solutionz,"No24, Unit 1b Cheston Rd, Birmingham B7 5EE, UK",07711 825722,http://www.cateringsolutionz.com/
Birmingham,B_equipment_repair,Midlands Refrigeration & Catering Equipment,"Unit 4, Euro Enterprise Park, Stratford St N, Birmingham B11 1BU, UK",0121 439 0300,http://www.midlandsrefrigeration.co.uk/
Birmingham,B_equipment_repair,Catering Equipment Birmingham Ltd,"14 Witton Rd, Handsworth, Birmingham B6 5NY, UK",0121 551 3636,http://cateringequipmentltd.com/
Birmingham,B_equipment_repair,Phoenix Commercial Catering Equipment Ltd,"Unit 11, 94 Bell Ln, Kitt's Green, Birmingham B33 0HX, UK",0121 684 5078,https://www.phoenixcommercialcatering.co.uk/
Birmingham,B_equipment_repair,Catering Equipment Outlet Birmingham,"97 Bissell St, Birmingham B5 7HP, UK",07725 330170,
Birmingham,B_equipment_repair,Nova Catering Repairs,"34 Dudley Rd, Brierley Hill DY5 1LH, UK",01384 210544,http://www.novarepairs.co.uk/
Birmingham,B_equipment_repair,ASTONS Catering Equipment,"Unit 2 South Staffs Freight Terminal, Lynn Ln, Shenstone, Lichfield WS14 0ED, UK",0121 643 1131,http://www.astonsgca.com/
Birmingham,B_equipment_repair,Kitchen Solutions,"20 Prince Rd, Birmingham B30 3HB, UK",0121 399 0016,http://www.kitchensolutions.co.uk/
Birmingham,B_equipment_repair,Chefline Ltd,"Unit W, Hamstead Industrial Estate, Austin Way, Birmingham B42 1DU, UK",0121 663 0027,https://www.chefline.co.uk/
Birmingham,B_equipment_repair,Equipment Bazaar Birmingham,"235-238 Great Lister St, Birmingham B7 4BS, UK",0121 359 6124,
Birmingham,B_equipment_repair,Commercial Catering,"Unit 15, 34-37 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://commercialcateringbham.co.uk/
Birmingham,B_equipment_repair,Abraxas Catering Equipment Limited,"Unit 8, Building 329, Rushock Trading Estate, Droitwich WR9 0NR, UK",01562 863222,https://www.abraxascatering.co.uk/
Birmingham,B_equipment_repair,Delia Catering Equipment,"Unit 64 Birch Rd E, Witton, Birmingham B6 7DB, UK",07800 588505,http://deliacateringequipment.com/?utm_source=gmb&utm_medium=referral
Birmingham,B_equipment_repair,Midlands Catering Equipment,"17 Deer Park Rd, Northampton NN3 6AT, UK",01604 961161,https://www.midlandscateringequipment.co.uk/
Birmingham,B_equipment_repair,CateringBase Ltd,"Unit F26, Hastingwood Industrial Park, Wood Ln, Erdington, Birmingham B24 9QR, UK",0121 386 6628,http://www.cateringbase.co.uk/
Birmingham,B_equipment_repair,Costa Engineers Ltd,"1, 14-16 Bissell St, Birmingham B5 7HP, UK",07952 975492,http://costaengineers.co.uk/
Birmingham,B_equipment_repair,Mukhtar's Food Machinery,"2 Dreamwell State, James Rd, Tyseley, Birmingham B11 2BA, UK",07806 672356,http://mukhtarsfoodmachinery.co.uk/
Birmingham,B_equipment_repair,HNR Catering Supplies,"213 The Avenue, Acocks Green, Birmingham B27 6NP, UK",0121 707 3025,https://www.hnrcateringsupplies.co.uk/
Birmingham,B_equipment_repair,Smart Catering Repairs Ltd,"Unit 15, Spinners End Industrial Estate, Oldfields, Cradley Heath B64 6BS, UK",01384 918688,http://www.smartcateringrepairs.co.uk/
Birmingham,B_equipment_repair,Cater Buddy,"Unit 7, New Enterprise Centre, Monmore Rd, Wolverhampton WV1 2TZ, UK",01902 213114,https://www.caterbuddy.co.uk/
Birmingham,B_equipment_repair,Sylhet Cooker Services,"27 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://sylhetcooker.co.uk/
Birmingham,B_equipment_repair,In-Charge Catering Supplies Ltd,"Unit 11, St Andrews Industrial Estate, Sydney Rd, Birmingham B9 4QB, UK",0121 772 1910,http://www.inchargecateringsupplies.co.uk/
Birmingham,B_equipment_repair,Tansik London ltd (Tansik Catering),"Unit 12, Green Lane Industrial Estate, Second Ave, Birmingham B9 5QP, UK",07411 203963,http://www.tansik.co.uk/
Birmingham,B_equipment_repair,Cater Flame Ltd,"Unit 57, Wyrley Trading Estate, 59 Wyrley Rd, Birmingham B6 7DB, UK",0121 327 3161,https://caterflame.co.uk/
Birmingham,B_equipment_repair,Forming and Catering Equipment Ltd,"66 Rea St S, Deritend, Birmingham B5 6LB, UK",0845 331 3226,http://formingandcatering.com/
Birmingham,B_equipment_repair,Maggie Lo Catering Supplies Ltd,"202-204 Barford St, Birmingham B5 7EP, UK",0121 622 3358,http://www.maggielo.co.uk/
Birmingham,B_equipment_repair,Nisbets Catering Equipment Birmingham Store,"64 Bristol St, Birmingham B5 7AA, UK",0121 622 1763,https://www.nisbets.co.uk/birminghamstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
